Datetime,sentimen_score,sentimen
2022-01-01,-1.0,0.0
2022-01-02,1.0,1.0
2022-01-03,0.0,1.0
2022-01-04,0.0,1.0
2022-01-05,1.0,1.0
2022-01-06,4.0,1.0
2022-01-07,1.0,1.0
2022-01-08,-2.0,0.0
2022-01-09,0.0,1.0
2022-01-10,0.0,0.0
2022-01-11,-1.0,0.0
2022-01-12,1.0,1.0
2022-01-13,-9.0,0.0
2022-01-14,2.0,1.0
2022-01-15,2.0,1.0
2022-01-16,0.0,0.0
2022-01-17,0.0,0.0
2022-01-18,2.0,1.0
2022-01-19,0.0,1.0
2022-01-20,-3.0,0.0
2022-01-21,1.0,1.0
2022-01-22,1.0,1.0
2022-01-23,-1.0,0.0
2022-01-24,-4.0,0.0
2022-01-25,3.0,1.0
2022-01-26,-5.0,0.0
2022-01-27,-3.0,0.0
2022-01-28,-2.0,0.0
2022-01-29,1.0,1.0
2022-01-30,-1.0,0.0
2022-01-31,0.0,1.0
2022-02-01,2.0,1.0
2022-02-02,-3.0,0.0
2022-02-03,-5.0,0.0
2022-02-04,-10.0,0.0
2022-02-05,-1.0,0.0
2022-02-06,1.0,1.0
2022-02-07,-2.0,0.0
2022-02-08,1.0,1.0
2022-02-09,2.0,1.0
2022-02-10,1.0,1.0
2022-02-11,2.0,1.0
2022-02-12,1.0,1.0
2022-02-13,1.0,1.0
2022-02-14,-5.0,0.0
2022-02-15,4.0,1.0
2022-02-16,-2.0,0.0
2022-02-17,-3.0,0.0
2022-02-18,-3.0,0.0
2022-02-19,-6.0,0.0
2022-02-20,2.0,1.0
2022-02-21,1.0,1.0
2022-02-22,1.0,1.0
2022-02-23,1.0,1.0
2022-02-24,9.0,1.0
2022-02-25,-10.0,0.0
2022-02-26,2.0,1.0
2022-02-27,-1.0,0.0
2022-02-28,6.0,1.0
2022-03-01,-33.0,0.0
2022-03-02,-821.0,0.0
2022-03-03,318.0,1.0
2022-03-04,0.0,1.0
2022-03-05,1.0,1.0
2022-03-06,2.0,1.0
2022-03-07,-6.0,0.0
2022-03-08,5.0,1.0
2022-03-09,3.0,1.0
2022-03-10,3.0,1.0
2022-03-11,4.0,1.0
2022-03-12,1.0,1.0
2022-03-13,-4.0,0.0
2022-03-14,8.0,1.0
2022-03-15,6.0,1.0
2022-03-16,1.0,1.0
2022-03-17,-5.0,0.0
2022-03-18,0.0,1.0
2022-03-19,-2.0,0.0
2022-03-20,-1.0,0.0
2022-03-21,-1.0,0.0
2022-03-22,6.0,1.0
2022-03-23,1.0,1.0
2022-03-24,0.0,1.0
2022-03-25,-1.0,0.0
2022-03-26,-2.0,0.0
2022-03-27,-3.0,0.0
2022-03-28,4.0,1.0
2022-03-29,4.0,1.0
2022-03-30,-2.0,0.0
2022-03-31,-6.0,0.0
2022-04-01,-276.0,0.0
