Datetime,Tweet Id,Text,Username,sentiment_score,class
2022-04-01,1509795431496433668,gempa muhammadiyah seeyounextyearbri tips,kalopsia50,8,1
2022-04-01,1509795400043343874,aplikasi gadang mybca keluh ganti nasabah,suarapanturacom,-4,-1
2022-04-01,1509795338651340808,eror inpo,andreasirwanto1,-4,-1
2022-04-01,1509795302982979586,mybca tutup ganti,suarapanturacom,-2,-1
2022-04-01,1509795117007511553,error kaga pantesan beli shopee,kesayangananon,-8,-1
2022-04-01,1509795091241902080,trnyta eror,NanaSAlamsyah,-4,-1
2022-04-01,1509795051228233731,april,deviishaleeka,0,0
2022-04-01,1509795033926762497,lesti periode ngasih dukung juta pertalite rakyat desa kades jokowi warganet tanggap ribu tolak tigaperiodendasmu apdesi moga,suarapanturacom,7,1
2022-04-01,1509794986333663240,error,enchantodd,-5,-1
2022-04-01,1509794974665424897,udah,slsblabla,0,0
2022-04-01,1509794955044491267,eror,slaiolaistobeli,-4,-1
2022-04-01,1509794805504634885,ketemu error jawab langsung ampuh twitter,_rendywhite,-3,-1
2022-04-01,1509794789457235972,april like huft fools joining seems,silkysweetpie,0,0
2022-04-01,1509794770616750080,rencana error,oomblues,-7,-1
2022-04-01,1509794706200281090,bikin ragu,heynisaraa,-3,-1
2022-04-01,1509794459931725824,ngikut astaga livin,otaeoxo,-1,-1
2022-04-01,1509794431649542144,sama telepon tahap nanya rekening perihal udah kalo nasabah nomor niat,JEPEAH,6,1
2022-04-01,1509794333935173633,twiter langsung ehhh bener cari info eror,fayainspyra,-5,-1
2022-04-01,1509794293875052545,emang update subuh langsung eror pagi,justbenggg,-3,-1
2022-04-01,1509794231417970688,error,krisseuyaa17,-5,-1
2022-04-01,1509794201625829382,kena error ngga diijinin gimana narik belanja trus musibah mandiri,chizu_redv,-19,-1
2022-04-01,1509794119224557573,anak emang error gempa sholeh rezeki ngga,yeontanjg,-3,-1
2022-04-01,1509794118813163522,knapaaaa,akhlakharuto,0,0
2022-04-01,1509794059367305218,error,clemtarg,-5,-1
2022-04-01,1509794004455493632,error kyanya gimana,aprideiru,-5,-1
2022-04-01,1509793920162889729,,irt_sa,0,0
2022-04-01,1509793851346948096,eror kmaren,ironawakeup,-4,-1
2022-04-01,1509793772489834496,update muat trending sedih mesti memori,dazzelxz,-8,-1
2022-04-01,1509793756941553667,singa error gaji,Nina_sitiainur,-5,-1
2022-04-01,1509793749282746375,oren error jajan cendol gagal,jejakdevil,-9,-1
2022-04-01,1509793689807196162,mbankingnya pantes error buka shopeepay gabisa,Sembilan2x,-7,-1
2022-04-01,1509793654470176770,,OhMyAL33a,0,0
2022-04-01,1509793653556133889,udah bener wkwk ganggu,Satancvlt,-2,-1
2022-04-01,1509793627697864708,eror,sorayandriani,-4,-1
2022-04-01,1509793598975270916,error transfer,askmearmything,-5,-1
2022-04-01,1509793573020962822,error udah,favophs,-5,-1
2022-04-01,1509793541895372801,doang emang eror,chrislinow,-4,-1
2022-04-01,1509793499046346752,error allah mulu,noitaitu,1,1
2022-04-01,1509793452917092352,update bayar tambah bukti hehe tampil abis,denisdela09,-5,-1
2022-04-01,1509793446705307651,gaji hari,elokkaaa,0,0
2022-04-01,1509793403785322501,kosong saldo napas,pararaskidipapa,-2,-1
2022-04-01,1509793349762531328,tiket bayar kereta,dimaasfajriaan,-6,-1
2022-04-01,1509793208452014080,unta lempar quraisy kotor pertalite jumatberkah prokes nabi kafir skrng wajah kepalapundaklututbi umat hastag dosa tigaperiodendasmu apdesi tarawih,ferry_update,-8,-1
2022-04-01,1509793204794658819,muhasabah error,agungsanda,-5,-1
2022-04-01,1509793199312683020,kampret panik,riefkyferian,-14,-1
2022-04-01,1509793134187753472,barang pindahin kirim uang error gopay untung makan bener pikir pagi,ninoriano,-2,-1
2022-04-01,1509793066831384576,fiks siang makan buka,Andriahmad___,0,0
2022-04-01,1509793061244571652,error beneran twitter,1Rul27BigWin,-2,-1
2022-04-01,1509792874346389509,udha alhamdulillah,sjxact_,5,1
