Datetime,Tweet Id,Text,Username
2022-04-01 07:30:56+00:00,1509795431496433668,"['tips', 'gempa', 'mbanking', 'bca', 'muhammadiyah', 'seeyounextyearbri', 'https']",kalopsia50
2022-04-01 07:30:48+00:00,1509795400043343874,"['gadang', 'ganti', 'bca', 'mobile', 'aplikasi', 'mybca', 'keluh', 'nasabah', 'mbanking', 'bca', 'https']",suarapanturacom
2022-04-01 07:30:34+00:00,1509795338651340808,"['inpo', 'mbanking', 'bca', 'mu', 'opo', 'yo', 'eror']",andreasirwanto1
2022-04-01 07:30:25+00:00,1509795302982979586,"['bca', 'mobile', 'tutup', 'ganti', 'bca', 'mobile', 'mybca', 'ganti', 'bca', 'mobile', 'mbanking', 'bca', 'https']",suarapanturacom
2022-04-01 07:29:41+00:00,1509795117007511553,"['mbanking', 'bca', 'emg', 'error', 'pantesan', 'td', 'top', 'up', 'shopee', 'kag', 'ya', 'gpp', 'si', 'mbanking', 'error', 'gue', 'jd', 'kaga', 'jd', 'beli']",kesayangananon
2022-04-01 07:29:35+00:00,1509795091241902080,"['emg', 'lg', 'eror', 'y', 'trnyta', 'mbanking', 'bca']",NanaSAlamsyah
2022-04-01 07:29:25+00:00,1509795051228233731,"['april', 'mop', 'mbanking', 'bca']",deviishaleeka
2022-04-01 07:29:21+00:00,1509795033926762497,"['ribu', 'kades', 'apdesi', 'dukung', 'jokowi', 'periode', 'warganet', 'ribu', 'juta', 'rakyat', 'desa', 'tolak', 'tigaperiodendasmu', 'mbanking', 'bca', 'pertalite', 'moga', 'lesti', 'ga', 'ngasih', 'tanggap', 'https']",suarapanturacom
2022-04-01 07:29:10+00:00,1509794986333663240,"['mbanking', 'bca', 'error', 'ga', 'sih']",enchantodd
2022-04-01 07:29:07+00:00,1509794974665424897,"['mbanking', 'bca', 'udah', 'blm']",slsblabla
2022-04-01 07:29:02+00:00,1509794955044491267,"['mbanking', 'bca', 'eror', 'ya']",slaiolaistobeli
2022-04-01 07:28:26+00:00,1509794805504634885,"['ampuh', 'cek', 'mbanking', 'bca', 'error', 'twitter', 'langsung', 'ketemu', 'jawab', 'https']",_rendywhite
2022-04-01 07:28:23+00:00,1509794789457235972,"['seems', 'like', 'mbanking', 'bca', 'is', 'joining', 'april', 'fools', 'huft']",silkysweetpie
2022-04-01 07:28:18+00:00,1509794770616750080,"['mbanking', 'bca', 'error', 'rencana']",oomblues
2022-04-01 07:28:03+00:00,1509794706200281090,"['ragu', 'bikin', 'mbanking', 'bca']",heynisaraa
2022-04-01 07:27:04+00:00,1509794459931725824,"['mbanking', 'bca', 'ngikut', 'livin', 'si', 'astaga']",otaeoxo
2022-04-01 07:26:57+00:00,1509794431649542144,"['halobca', 'min', 'nanya', 'perihal', 'blu', 'bca', 'udah', 'nasabah', 'bca', 'tahap', 'udah', 'mbanking', 'niat', 'rekening', 'blu', 'bca', 'ga', 'kalo', 'nomor', 'telepon', 'mbanking', 'bca', 'blu', 'bca', 'sama']",JEPEAH
2022-04-01 07:26:34+00:00,1509794333935173633,"['mbanking', 'bca', 'eror', 'langsung', 'cari', 'info', 'twiter', 'ehhh', 'bener']",fayainspyra
2022-04-01 07:26:24+00:00,1509794293875052545,"['pagi', 'subuh', 'mbanking', 'bca', 'emang', 'eror', 'update', 'langsung', 'gak']",justbenggg
2022-04-01 07:26:10+00:00,1509794231417970688,"['halobca', 'mbanking', 'bca', 'error', 'ya']",krisseuyaa17
2022-04-01 07:26:02+00:00,1509794201625829382,"['kena', 'musibah', 'pas', 'narik', 'atm', 'mandiri', 'trus', 'mbanking', 'bca', 'yg', 'error', 'ngga', 'diijinin', 'belanja', 'gimana']",chizu_redv
2022-04-01 07:25:43+00:00,1509794119224557573,"['gempa', 'ngga', 'mbanking', 'bca', 'nya', 'error', 'ngga', 'emang', 'rezeki', 'anak', 'sholeh']",yeontanjg
2022-04-01 07:25:43+00:00,1509794118813163522,"['mbanking', 'bca', 'knapaaaa']",akhlakharuto
2022-04-01 07:25:29+00:00,1509794059367305218,"['mbanking', 'bca', 'error']",clemtarg
2022-04-01 07:25:15+00:00,1509794004455493632,"['mbanking', 'bca', 'kdg', 'kdg', 'error', 'gimana', 'si', 'kyanya', 'lg', 'yg']",aprideiru
2022-04-01 07:24:55+00:00,1509793920162889729,"['mbanking', 'bca', 'dah']",irt_sa
2022-04-01 07:24:39+00:00,1509793851346948096,"['dag', 'dig', 'dug', 'nih', 'mbanking', 'bca', 'eror', 'gue', 'kmaren', 'log', 'out']",ironawakeup
2022-04-01 07:24:20+00:00,1509793772489834496,"['mbanking', 'bca', 'knp', 'trending', 'update', 'hp', 'udh', 'gak', 'muat', 'memori', 'loh', 'trs', 'mesti', 'update', 'gak', 'sedih', 'bgt', 'atm', 'zzz']",dazzelxz
2022-04-01 07:24:16+00:00,1509793756941553667,"['singa', 'ahh', 'gaji', 'mbanking', 'bca', 'error', 'https']",Nina_sitiainur
2022-04-01 07:24:15+00:00,1509793749282746375,"['top', 'up', 'si', 'oren', 'jajan', 'cendol', 'eh', 'si', 'mbanking', 'bca', 'error', 'gagal', 'jajan', 'deh', 'https']",jejakdevil
2022-04-01 07:24:00+00:00,1509793689807196162,"['pantes', 'tf', 'shopeepay', 'gabisa', 'buka', 'mbankingnya', 'mbanking', 'bca', 'error']",Sembilan2x
2022-04-01 07:23:52+00:00,1509793654470176770,"['mbanking', 'bca', 'uda']",OhMyAL33a
2022-04-01 07:23:52+00:00,1509793653556133889,"['mbanking', 'bca', 'udah', 'bener', 'ganggu', 'wkwk']",Satancvlt
2022-04-01 07:23:46+00:00,1509793627697864708,"['mbanking', 'bca', 'eror', 'kah']",sorayandriani
2022-04-01 07:23:39+00:00,1509793598975270916,"['mbanking', 'bca', 'error', 'jam', 'gw', 'transfer', 'va']",askmearmything
2022-04-01 07:23:33+00:00,1509793573020962822,"['mbanking', 'bca', 'udah', 'error', 'aja']",favophs
2022-04-01 07:23:25+00:00,1509793541895372801,"['mbanking', 'bca', 'ku', 'doang', 'eror', 'emang', 'https']",chrislinow
2022-04-01 07:23:15+00:00,1509793499046346752,"['ya', 'allah', 'mbanking', 'bca', 'error', 'mulu', 'dah']",noitaitu
2022-04-01 07:23:04+00:00,1509793452917092352,"['abis', 'update', 'tampil', 'tambah', 'bukti', 'bayar', 'mbanking', 'bca', 'hehe', 'https']",denisdela09
2022-04-01 07:23:02+00:00,1509793446705307651,"['hari', 'gaji', 'mbanking', 'bca', 'https']",elokkaaa
2022-04-01 07:22:52+00:00,1509793403785322501,"['mbanking', 'bca', 'napas', 'saldo', 'gue', 'kosong']",pararaskidipapa
2022-04-01 07:22:39+00:00,1509793349762531328,"['mbanking', 'bca', 'sik', 'pen', 'bayar', 'tiket', 'kereta', 'ni', 'halobca']",dimaasfajriaan
