Datetime,Tweet Id,Text,Username,sentiment_score,class
2022-04-01,1509795431496433668,gempa muhammadiyah seeyounextyearbri tips,kalopsia50,8,1
2022-04-01,1509795033926762497,lesti periode ngasih dukung juta pertalite rakyat desa kades jokowi warganet tanggap ribu tolak tigaperiodendasmu apdesi moga,suarapanturacom,7,1
2022-04-01,1509794431649542144,sama telepon tahap nanya rekening perihal udah kalo nasabah nomor niat,JEPEAH,6,1
2022-04-01,1509793499046346752,error allah mulu,noitaitu,1,1
2022-04-01,1509792874346389509,udha alhamdulillah,sjxact_,5,1
2022-04-01,1509792713155170335,dispenser service kasih pesan banda mito galon psis rosmawati terima ramadhanpat lokasi,urgent_id,2,1
2022-04-01,1509792137965355009,smpt guys udah wkwk dagdig,Stefanyfany2231,1,1
2022-04-01,1509791899292680194,sampe trending akses,kitayrunin,2,1
2022-04-01,1509791374715269121,psis persipura jersey pendek lengan fools asitwas brimojuaranya pertamax ramadhanpatuhprokes jungwoo binjinwedding ukur hobi april messi,EkiEnglandMuse,2,1
2022-04-01,1509790778666590209,riah april,anasdkk_,3,1
2022-04-01,1509790568746201090,psis persipura jersey pendek wales lengan fools bola asitwas brimojuaranya pertamax ramadhanpatuhprokes home jungwoo binjinwedding ukur hobi april,EkiEnglandMuse,2,1
2022-04-01,1509790534415847428,saldo kosongg,pernahgantenxt,2,1
2022-04-01,1509790283373809672,ngga syukur,nachimbongharu,3,1
2022-04-01,1509790211735437319,hasil langsung eror udah,Kaisakaffm,2,1
2022-04-01,1509790067262377988,pertalite busd tarawih free bakalkangenbi prokes,zplatedotnet,3,1
2022-04-01,1509789824323973122,ramah,quixoticboi,2,1
2022-04-01,1509789322442153984,lezat mewah ngobrol bareng shopeeidxstraykids prokes hyun menu tokoh nikah deret tigaperiodendasmu tarawih,izlwhd,5,1
2022-04-01,1509789262299901952,buka directly check twitter,hanagt15,1,1
2022-04-01,1509789022696382467,april baby like,biskuitpemarah,2,1
2022-04-01,1509788480473161735,bankbca going service hello what,ndoroAtmo,2,1
