,username,date,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,NusadailyCom,2022-03-08 08:07:50+00:00,"Kami hadir untuk memenuhi kebutuhan informasi dan turut mencerdaskan kehidupan bangsa.
FB: @nusadailycom | Ig: @nusadailycom | YT: Nusa Daily Channel",Indonesia,426,138,32269,0,"Vaksin Covid-19 CanSino Mulai Uji Coba Fase 3, Dapat Digunakan Untuk Penggunaan Darurat
https://t.co/yZSc7q5AMC",[]
1,taee_yul,2022-03-08 08:07:48+00:00,,,383,18,643,0,"Covid + SM ✖️
Covid + jyp ✖️
Covid + yg ✖️
Covid + hybe ✅",[]
2,Niko97305905,2022-03-08 08:07:47+00:00,Nge mie dulu lah,"Tangerang, Indonesia",39,19,346,0,Program vaksinasi Covid-19 ini merupakan akselerasi capaian program vaksinasi pemerintah. BIN berkomitmen mendukung capaian vaksinasi sesuai arahan dari Presiden Joko Widodo. https://t.co/JlPjJDrlAO,[]
3,PTJASAMARGA,2022-03-08 08:07:39+00:00,Official Twitter Lalu Lintas Jasa Marga • Perintis penyelenggaraan jalan tol di Indonesia sejak 01 Maret 1978 • Call Center 14080 • Korporat @OFFICIAL_JSMR,"DKI Jakarta, Indonesia",38,338845,2296520,0,"Hallo Kawan JM

Patuhi protokol kesehatan untuk memutus penyebaran Covid-19, buat Kawan JM yang beraktivitas dimanapun dan kapanpun jangan lupa untuk 6M ya!

Yuk bersama-sama kita cegah penyebaran Covid-19! https://t.co/piQR1Cp9VY",[]
4,Jokowi_Daily,2022-03-08 08:07:37+00:00,Portal Info Tentang Presiden Jokowidodo.,"DKI Jakarta, Indonesia",1,1,74,0,"Wali Kota Banjarmasin Ibnu Sina mengatakan sejumlah kebijakan Presiden Jokowi terkait penanganan pandemi Covid-19, begitu membantu kepala daerah dalam meredam Covid-19. https://t.co/0FY1Nq12Rn",[]
5,MargosaMusic,2022-03-08 08:07:36+00:00,Cinta Pasti Bersatu 🥀 ( https://t.co/FhrARrRicG ) || IG: @margosamusic || Tied to @SonyMusicMY,Kuala Lumpur City,54,1161,3901,18,"Harga kompaun = RM1000 x 6 orang.
Moment jadi juara, lawan expectation ramai orang = priceless.

""Kita pernah menang AJL dulu weh""
""Tapi lepas tu kena bayar kompaun""
""Kompaun Covid, what a life kan?""
""Ya do, turun naik. Macam roller coaster""
*sambung minum teh tarik* https://t.co/O8tT5fstLk",[]
6,siheejyo_,2022-03-08 08:07:36+00:00,co mercari frill rakuten rate 140 fee/link 25k -30k TANPA +100¥ | mention after dm is a must!! | shopee export to MY PH SG MX TH VN BR is available!,AREA KHUSUS NOMINIST,188,160,48999,24,"@tanyakanrl Mereka nih mo liburan tapi berkedok membanggakan nama indonesia di kanca internasional, alias awass aja kalau pulang² covid trus story ""minta do'a nya ya teman²"" bgsttt",[]
7,nonasri_,2022-03-08 08:07:35+00:00,Suka nge-retweet,,333,246,73052,24,"@tanyakanrl Mereka nih mo liburan tapi berkedok membanggakan nama indonesia di kanca internasional, alias awass aja kalau pulang² covid trus story ""minta do'a nya ya teman²"" bgsttt",[]
8,Park_jeeon1,2022-03-08 08:07:11+00:00,,,25,19,89,0,"Tri juga berharap program tersebut dapat membantu masyarakat, utamanya di Kepri untuk bangkit dari pandemi Covid-19, sekaligus mendorong pemulihan ekonomi. 

#BaktiEmasPKK https://t.co/d3nySsPWhl",['BaktiEmasPKK']
9,theREALandri,2022-03-08 08:07:06+00:00,,"Bandung, Jawa Barat",162,137,5487,4,"Asosiasi pengusaha Indonesia menyambut baik rencana pemerintah mengubah status pandemi COVID-19 menjadi endemi.

https://t.co/1hLaGKOzMq",[]
